Umur,Jenis_Kelamin,Penghasilan,Pendidikan,Frekuensi_Liburan,Preferensi_Aktivitas,Anggaran_Liburan,Lokasi,Jarak_ke_Gunung,Jarak_ke_Pantai,Musim_Favorit,Hewan_Peliharaan,Sensitivitas_Lingkungan,Preferensi_Liburan
56,Laki-Laki,71477,Sarjana,9,Ski,2477,Perkotaan,175,267,Panas,0,1,Gunung
69,Laki-Laki,88740,Magister,1,Renang,4777,Pinggiran Kota,228,190,Gugur,0,1,Pantai
46,Perempuan,46562,Magister,0,Ski,1469,Perkotaan,71,280,Dingin,0,0,Gunung
32,Non-Biner,99044,SMA/Setingkat,6,Mendaki Gunung,1482,Pedesaan,31,255,Panas,1,0,Gunung
60,Perempuan,106583,SMA/Setingkat,5,Berjemur,516,Pinggiran Kota,23,151,Dingin,1,1,Pantai
25,Laki-Laki,110588,Doktor,3,Berjemur,2895,Perkotaan,6,47,Gugur,0,1,Pantai
38,Laki-Laki,22245,Sarjana,1,Renang,4994,Pedesaan,157,225,Gugur,0,1,Pantai
56,Non-Biner,109411,Sarjana,8,Berjemur,3656,Perkotaan,210,166,Dingin,1,0,Pantai
36,Laki-Laki,22531,Magister,6,Renang,2408,Pinggiran Kota,218,263,Panas,1,1,Pantai
40,Non-Biner,90840,SMA/Setingkat,1,Renang,4044,Pedesaan,271,15,Panas,1,1,Pantai
28,Perempuan,42036,Magister,4,Ski,3495,Pinggiran Kota,159,51,Semi,0,1,Pantai
28,Non-Biner,97902,SMA/Setingkat,3,Ski,1747,Perkotaan,33,21,Dingin,1,0,Pantai
41,Perempuan,52794,Sarjana,7,Mendaki Gunung,1591,Pinggiran Kota,130,254,Panas,1,1,Gunung
53,Perempuan,93042,Sarjana,9,Berjemur,2221,Pedesaan,211,148,Gugur,0,1,Pantai
57,Laki-Laki,65802,SMA/Setingkat,3,Mendaki Gunung,2607,Pinggiran Kota,36,258,Gugur,0,0,Gunung
41,Perempuan,99810,Magister,2,Ski,2830,Perkotaan,77,209,Gugur,1,1,Gunung
20,Laki-Laki,112635,Sarjana,7,Berjemur,675,Pedesaan,280,211,Dingin,0,0,Pantai
39,Non-Biner,52469,Doktor,4,Mendaki Gunung,4979,Pedesaan,253,50,Panas,0,1,Pantai
19,Non-Biner,69522,Sarjana,5,Berjemur,4028,Pedesaan,162,293,Gugur,0,0,Pantai
41,Perempuan,46992,Doktor,1,Mendaki Gunung,803,Perkotaan,207,162,Panas,0,0,Pantai
61,Non-Biner,107749,SMA/Setingkat,5,Mendaki Gunung,4140,Perkotaan,296,169,Gugur,0,1,Pantai
47,Perempuan,97814,Magister,7,Ski,3818,Pinggiran Kota,298,41,Semi,1,1,Pantai
55,Non-Biner,52222,SMA/Setingkat,1,Ski,635,Pinggiran Kota,263,241,Gugur,1,1,Pantai
19,Perempuan,82148,Sarjana,1,Renang,862,Pedesaan,164,1,Dingin,0,1,Pantai
38,Perempuan,112172,Magister,4,Ski,3424,Perkotaan,234,54,Semi,1,0,Pantai
50,Non-Biner,43152,Magister,3,Ski,3923,Perkotaan,243,161,Panas,1,1,Pantai
29,Non-Biner,98433,SMA/Setingkat,3,Berjemur,1823,Pedesaan,48,185,Semi,1,0,Pantai
39,Non-Biner,46417,SMA/Setingkat,4,Ski,2850,Pinggiran Kota,220,230,Panas,0,1,Gunung
61,Non-Biner,29865,Sarjana,6,Renang,3940,Pedesaan,256,291,Panas,0,1,Pantai
42,Perempuan,83719,Doktor,1,Renang,948,Pedesaan,201,24,Semi,1,0,Pantai
66,Perempuan,46795,SMA/Setingkat,2,Mendaki Gunung,4703,Pinggiran Kota,165,294,Semi,1,0,Gunung
44,Non-Biner,92148,Magister,3,Berjemur,2510,Pinggiran Kota,30,125,Gugur,1,0,Pantai
59,Non-Biner,34116,Doktor,5,Mendaki Gunung,1714,Pedesaan,209,90,Panas,1,0,Pantai
45,Laki-Laki,58179,SMA/Setingkat,3,Ski,4382,Pinggiran Kota,46,124,Semi,0,0,Gunung
33,Perempuan,73175,SMA/Setingkat,9,Ski,2385,Pedesaan,118,296,Semi,1,0,Gunung
32,Perempuan,21627,SMA/Setingkat,4,Berjemur,3849,Perkotaan,107,91,Gugur,1,0,Pantai
64,Non-Biner,97004,Doktor,7,Renang,2581,Pedesaan,288,27,Panas,0,1,Pantai
68,Laki-Laki,65603,SMA/Setingkat,0,Mendaki Gunung,3216,Pedesaan,51,149,Dingin,0,1,Gunung
61,Non-Biner,93856,Sarjana,2,Ski,2754,Pinggiran Kota,93,105,Gugur,1,1,Gunung
69,Perempuan,109258,SMA/Setingkat,7,Renang,3623,Pinggiran Kota,260,181,Panas,0,0,Pantai
20,Perempuan,31144,Magister,4,Renang,3453,Pinggiran Kota,212,15,Dingin,0,0,Pantai
54,Laki-Laki,114704,SMA/Setingkat,8,Renang,2611,Pinggiran Kota,246,221,Semi,1,1,Pantai
68,Non-Biner,32243,Magister,6,Mendaki Gunung,2713,Pinggiran Kota,274,134,Panas,1,0,Pantai
24,Laki-Laki,30602,Doktor,8,Renang,1998,Pinggiran Kota,207,168,Semi,0,1,Pantai
38,Non-Biner,43401,SMA/Setingkat,9,Ski,3701,Pinggiran Kota,77,8,Panas,0,0,Pantai
26,Laki-Laki,68080,SMA/Setingkat,0,Renang,4571,Perkotaan,250,173,Semi,1,1,Pantai
56,Non-Biner,97682,Doktor,6,Renang,553,Pedesaan,231,250,Dingin,1,1,Pantai
35,Non-Biner,98367,Sarjana,7,Mendaki Gunung,1641,Pinggiran Kota,123,184,Dingin,0,1,Gunung
21,Non-Biner,98203,Doktor,0,Mendaki Gunung,3244,Perkotaan,49,167,Panas,0,1,Gunung
42,Perempuan,119298,Doktor,0,Renang,3895,Pinggiran Kota,266,270,Panas,0,0,Pantai
31,Non-Biner,21605,Magister,9,Berjemur,2564,Perkotaan,164,133,Dingin,0,0,Pantai
67,Perempuan,37721,SMA/Setingkat,7,Berjemur,558,Pinggiran Kota,160,263,Semi,1,1,Pantai
26,Laki-Laki,41939,SMA/Setingkat,5,Berjemur,4235,Pinggiran Kota,84,17,Panas,1,1,Pantai
43,Non-Biner,28389,Magister,6,Mendaki Gunung,2718,Perkotaan,25,18,Semi,0,0,Pantai
19,Perempuan,86904,Magister,3,Berjemur,1670,Pedesaan,197,248,Gugur,1,1,Pantai
37,Laki-Laki,87867,SMA/Setingkat,9,Ski,2921,Perkotaan,241,47,Gugur,0,1,Pantai
45,Non-Biner,48902,Sarjana,4,Berjemur,2556,Pedesaan,264,138,Semi,1,1,Pantai
64,Laki-Laki,99552,Sarjana,4,Renang,3229,Pedesaan,243,227,Panas,0,0,Pantai
24,Perempuan,63471,Magister,8,Renang,3540,Pinggiran Kota,13,177,Semi,0,1,Pantai
61,Perempuan,111027,SMA/Setingkat,2,Ski,3359,Pinggiran Kota,31,285,Gugur,0,1,Gunung
25,Non-Biner,83063,Sarjana,0,Mendaki Gunung,2382,Pinggiran Kota,51,24,Panas,0,0,Pantai
64,Perempuan,27118,Sarjana,1,Mendaki Gunung,3319,Pinggiran Kota,64,202,Gugur,1,1,Gunung
52,Perempuan,108178,SMA/Setingkat,9,Mendaki Gunung,2349,Pinggiran Kota,166,121,Dingin,1,0,Pantai
